FOODNAME,good,sad,tired,stress
치즈L,0,0,1,0
콘샐러드,0,0,0,0
코울슬로,0,0,0,0
크림치킨파스타,0,0,0,0
상하이쉬림프파스타,0,0,0,0
팝콘치킨,1,0,0,0
치즈볼,0,0,0,0
오리지날 윙 4조각,1,0,0,0
오리지날 윙 8조각,1,0,0,0
스파이시윙 4조각,1,0,0,0
스파이시윙 8조각,1,0,0,0
치킨텐더 4조각,1,0,0,0
치킨텐더 8조각,1,0,0,0
리치치즈파스타,0,0,0,0
그뤼에르 퐁듀소스,0,0,0,0
치즈크러스트 디핑소스,0,0,0,0
바른생피클 L,0,0,0,0
바른생피클 M,0,0,0,0
갓치킨L 바삭한 크런치,0,0,1,0
갓치킨L 쫄깃한 클래식,0,0,1,0
순삭포테이토L 바삭한 크런치,0,0,1,0
순삭포테이토L 쫄깃한 클래식,0,0,1,0
케미콤보 쫄깃한 클래식,0,0,1,0
케미콤보 바삭한 크런치,0,0,1,0
폭폭치즈L 쫄깃한 클래식,0,0,1,0
폭폭치즈L 바삭한 크런치,0,0,1,0
얌얌페페로니L 쫄깃한 클래식,0,0,1,0
얌얌페페로니L 바삭한 크런치,0,0,1,0
씨푸드아일랜드 노엣지 R,0,0,1,0
씨푸드아일랜드 해쉬브라운R,0,0,1,0
씨푸드아일랜드 골드R,0,0,1,0
씨푸드아일랜드 크림치즈R,0,0,1,0
씨푸드아일랜드 에그타르트R,0,0,1,0
씨푸드아일랜드 치즈캡 R,0,0,1,0
씨푸드아일랜드 노엣지 L,0,0,1,0
씨푸드아일랜드 해쉬브라운 L,0,0,1,0
씨푸드아일랜드 골드L,0,0,1,0
씨푸드아일랜드 크림치즈 L,0,0,1,0
씨푸드아일랜드 에그타르트 L,0,0,1,0
씨푸드아일랜드 치즈캡 L,0,0,1,0
제주흑도새기 노엣지 R,0,0,1,0
제주흑도새기 해쉬브라운R,0,0,1,0
제주흑도새기 골드R,0,0,1,0
제주흑도새기 크림치즈R,0,0,1,0
제주흑도새기 에그타르트R,0,0,1,0
제주흑도새기 치즈캡 R,0,0,1,0
제주흑도새기 노엣지 L,0,0,1,0
제주흑도새기 해쉬브라운 L,0,0,1,0
제주흑도새기 골드L,0,0,1,0
제주흑도새기 크림치즈 L,0,0,1,0
제주흑도새기 에그타르트 L,0,0,1,0
